Date,Close,High,Low,Open,Volume,Stock
,MSFT,MSFT,MSFT,MSFT,MSFT,
2024-01-29,405.8651123046875,406.12267574413715,400.52581011271667,402.23954412902646,24510200,MSFT
2024-01-30,404.7457275390625,409.16375662074074,402.6258777098208,408.3812111979871,33477600,MSFT
2024-01-31,393.8393249511719,411.41243736511643,393.47281096125835,403.1310773427729,47871100,MSFT
2024-02-01,399.9809875488281,404.161284395668,398.01960572688716,398.0493222591689,30657700,MSFT
2024-02-02,407.3509826660156,408.7675210638453,399.7630491761005,400.0106970175581,28245000,MSFT
2024-02-05,401.8333740234375,407.29154202131053,400.18898875911304,406.0433872498531,25352300,MSFT
2024-02-06,401.67486572265625,404.13154308563696,399.11915341177513,402.0612108490808,18382600,MSFT
2024-02-07,410.1543884277344,410.4020362966632,403.5669611603183,403.6065932838736,22340500,MSFT
2024-02-08,410.2137756347656,411.65014520614363,408.6486545795197,410.1543425713037,21225300,MSFT
2024-02-09,416.5931701660156,416.8606491715924,411.18454998916735,411.34304822902254,22032800,MSFT
2024-02-12,411.35296630859375,416.78138746189904,410.847755055397,416.6030882773996,21202900,MSFT
2024-02-13,402.4970703125,406.21178774325523,399.59464501524405,401.1300494611104,27824900,MSFT
2024-02-14,406.3873596191406,406.73471379055,401.50465451788693,404.97813565927675,20401200,MSFT
2024-02-15,403.4795837402344,406.03011869599004,401.22679392364836,405.0476293953427,21825500,MSFT
2024-02-16,400.9985656738281,405.19652723535626,400.38326805907,404.869010578239,22281100,MSFT
2024-02-20,399.7381286621094,401.4252298435828,394.9943472213883,400.18470090734456,24307900,MSFT
2024-02-21,399.13275146484375,399.24193376469594,394.21034092041026,397.1380014467668,18631100,MSFT
2024-02-22,408.531005859375,409.70205797134184,405.4743557171247,407.08207646174907,27009900,MSFT
2024-02-23,407.2309265136719,412.7090915973696,405.87131159465224,412.5205590554713,16295900,MSFT
2024-02-26,404.4521484375,409.0371386513167,404.2734892487182,408.34243031561954,16193500,MSFT
2024-02-27,404.39263916015625,405.22627106063214,400.7901378959309,404.898754425873,14835800,MSFT
2024-02-28,404.63079833984375,406.1988137086949,402.24898865810695,405.0873045429746,13183100,MSFT
2024-02-29,410.5059509277344,411.06170550216336,402.84444253870316,405.5438348800808,31947300,MSFT
2024-03-01,412.3518371582031,412.71902889421233,407.76684684717014,408.153876143975,17800300,MSFT
2024-03-04,411.7762451171875,414.18782621068357,409.19593875466035,410.307447886493,17596000,MSFT
2024-03-05,399.5992126464844,411.1113283199567,397.60446252322527,410.8235170993726,26919200,MSFT
2024-03-06,399.04345703125,402.0902036474927,395.37150921419715,399.91679432847235,22344100,MSFT
2024-03-07,406.0400390625,406.67517415608603,399.19229481283145,403.04290164123864,18718500,MSFT
2024-03-08,403.14215087890625,407.3103404061873,401.2664565057241,404.8689575439801,17971700,MSFT
2024-03-11,401.45501708984375,402.6062316222378,398.21973809181884,400.70079606171487,16120800,MSFT
2024-03-12,412.13348388671875,412.4212950799544,403.70782104780903,404.5315189350478,22457000,MSFT
2024-03-13,411.95489501953125,415.0115452878592,408.3325562328795,414.9321647542621,17115900,MSFT
2024-03-14,421.9981994628906,424.5785058716351,414.8229687362819,417.05592096351893,34157300,MSFT
2024-03-15,413.264892578125,419.39806083838096,409.6623914264508,416.1131423873529,45049800,MSFT
2024-03-18,414.1580505371094,417.54221722990445,410.6448639845401,411.111304092611,20106000,MSFT
2024-03-19,418.2170715332031,418.4751112612702,412.40145573236146,414.6641794557911,19837900,MSFT
2024-03-20,422.0081481933594,422.73259778034867,417.4727666861834,418.8026102027015,17860100,MSFT
2024-03-21,426.1167297363281,427.55575544088225,423.9234830206928,426.5732359122919,21296200,MSFT
2024-03-22,425.49151611328125,426.6030252593982,422.8417631107263,426.44426419825527,17636500,MSFT
2024-03-25,419.65606689453125,424.1716107025241,418.41553787360243,422.0180389961963,18060500,MSFT
2024-03-26,418.45526123046875,422.7623745415083,418.1575463672177,422.38524885715407,16725600,MSFT
2024-03-27,418.2369384765625,421.23407618588817,415.83529108292765,421.22414226138676,16705000,MSFT
2024-03-28,417.53228759765625,418.6735682140503,415.94440442920035,417.7704594727013,21871200,MSFT
2024-04-01,421.35308837890625,424.6479403829761,419.0208880059547,420.7377908946275,16316000,MSFT
2024-04-02,418.246826171875,419.1797063812392,414.6740966771135,416.92688638600043,17912000,MSFT
2024-04-03,417.26434326171875,420.0530500088036,415.91463197146663,416.54979735190346,16502300,MSFT
2024-04-04,414.71380615234375,425.4220608182633,414.4061573873391,421.76992047315406,19370900,MSFT
2024-04-05,422.2958984375,423.2784179752705,415.1504697507563,416.8276673390752,16544300,MSFT
2024-04-08,421.3729553222656,424.0425761054586,420.09272093696904,421.9485777283347,14272400,MSFT
2024-04-09,423.0501708984375,424.4991003259259,418.4254750382327,423.20896224870864,12512300,MSFT
2024-04-10,420.0530700683594,420.81722505973426,416.5200457584293,418.99116993330387,16216600,MSFT
2024-04-11,424.6876525878906,426.1167444183971,419.15984809671994,422.5936541739285,17966400,MSFT
2024-04-12,418.7033386230469,421.9584854811625,416.58947237839413,420.83704242845164,19232100,MSFT
2024-04-15,410.5059509277344,423.5860815606245,410.2975202475589,423.36774724307367,20273500,MSFT
2024-04-16,411.43878173828125,415.2298454910269,410.5952462785095,411.42887810136665,16765600,MSFT
2024-04-17,408.71954345703125,415.7062108618487,407.22097481991534,414.08855629342435,15855500,MSFT
2024-04-18,401.2069091796875,408.76919927263555,400.88935677884103,407.5187363707615,21029900,MSFT
2024-04-19,396.095947265625,402.4077746386735,394.7561698730406,400.9687488676842,30276500,MSFT
2024-04-22,397.9219665527344,399.79766079093116,392.7514505668274,397.04862935947983,20286900,MSFT
2024-04-23,404.48193359375,405.10716505974153,400.0060952402287,401.1771473553241,15734500,MSFT
